Test Name,FF1 Encryption Time (ns),AES-CBC Encryption Time (ns),FF1 Decryption Time (ns),AES-CBC Decryption Time (ns)
Test 1,0.5104,0.0000,0.0000,0.0000
Test 2,0.0000,0.0000,0.0000,0.0000
Test 3,0.0000,0.0000,0.0000,0.0000
Test 4,0.0000,0.0000,0.0000,0.0000
Test 5,0.0000,0.0000,0.0000,0.0000
Test 6,0.0000,0.0000,0.0000,0.0000
Test 7,0.0000,0.0000,0.0000,0.0000
Test 8,0.0000,0.0000,0.0000,0.0000
Test 9,0.0000,0.0000,0.0000,0.0000
Test 10,0.0000,0.0000,0.0000,0.0000
Test 11,0.0000,0.0000,0.0000,0.0000
Test 12,0.5096,0.0000,0.0000,0.0000
Test 13,0.0000,0.0000,0.0000,0.0000
Test 14,0.0000,0.0000,0.0000,0.0000
Test 15,0.0000,0.0000,0.0000,0.0000
Test 16,0.0000,0.0000,0.0000,0.0000
Test 17,0.0000,0.0000,6900.0000,0.0000
Test 18,0.0000,0.0000,0.0000,0.0000
Test 19,0.0000,0.0000,0.0000,0.0000
Test 20,0.0000,0.0000,0.0000,0.0000
Test 21,0.0000,0.0000,0.0000,0.0000
Test 22,0.0000,0.0000,0.0000,0.0000
Test 23,0.5081,0.0000,0.0000,0.0000
Test 24,0.0000,0.0000,0.0000,0.0000
Test 25,0.0000,0.0000,0.0000,0.0000
Test 26,0.0000,0.0000,0.0000,0.0000
Test 27,0.0000,0.0000,0.0000,0.0000
Test 28,0.0000,0.0000,509100.0000,0.0000
Test 29,0.0000,0.0000,0.0000,0.0000
Test 30,0.0000,0.0000,0.0000,0.0000
Test 31,0.0000,0.0000,0.0000,0.0000
Test 32,0.0000,0.0000,0.0000,0.0000
Test 33,0.0000,0.0000,0.0000,0.0000
Test 34,0.5088,0.0000,0.0000,0.0000
Test 35,0.0000,0.0000,0.0000,0.0000
Test 36,0.0000,0.0000,0.0000,0.0000
Test 37,0.0000,0.0000,0.0000,0.0000
Test 38,0.0000,0.0000,0.0000,0.0000
Test 39,0.0000,0.0000,508200.0000,0.0000
Test 40,0.0000,0.0000,0.0000,0.0000
Test 41,0.0000,0.0000,0.0000,0.0000
Test 42,0.0000,0.0000,0.0000,0.0000
Test 43,0.0000,0.0000,0.0000,0.0000
Test 44,0.0000,0.0000,0.0000,0.0000
Test 45,0.5019,0.0000,0.0000,0.0000
Test 46,0.0000,0.0000,0.0000,0.0000
Test 47,0.0000,0.0000,0.0000,0.0000
Test 48,0.0000,0.0000,0.0000,0.0000
Test 49,0.0000,0.0000,0.0000,0.0000
Test 50,0.0000,0.0000,506900.0000,0.0000
Test 51,0.0000,0.0000,0.0000,0.0000
Test 52,0.0000,0.0000,0.0000,0.0000
Test 53,0.0000,0.0000,0.0000,0.0000
Test 54,0.0000,0.0000,0.0000,0.0000
Test 55,0.0000,0.0000,0.0000,0.0000
Test 56,0.5078,0.0000,0.0000,0.0000
Test 57,0.0000,0.0000,533600.0000,0.0000
Test 58,0.0000,0.0000,0.0000,0.0000
Test 59,0.0000,0.0000,0.0000,0.0000
Test 60,0.0000,0.0000,0.0000,0.0000
Test 61,0.0000,0.0000,0.0000,0.0000
