Test Name,FF1 Encryption Time (ns),AES-CBC Encryption Time (ns),FF1 Decryption Time (ns),AES-CBC Decryption Time (ns)
Test 1,2382450900.0000,0.0000,2380915900.0000,0.0000
Test 2,2371092800.0000,0.0000,2387041300.0000,0.0000
Test 3,2384860500.0000,0.0000,2380557500.0000,0.0000
Test 4,2374895500.0000,0.0000,2385878400.0000,0.0000
Test 5,2387853400.0000,0.0000,2380332700.0000,0.0000
Test 6,2383945500.0000,0.0000,2372691400.0000,1000400.0000
Test 7,2382119000.0000,0.0000,2388243000.0000,0.0000
Test 8,2383362900.0000,0.0000,2375731800.0000,0.0000
Test 9,2381792500.0000,0.0000,2374242100.0000,0.0000
Test 10,2381745800.0000,0.0000,2378079000.0000,0.0000
Test 11,2383369400.0000,0.0000,2395130400.0000,0.0000
Test 12,2375392100.0000,0.0000,2381615000.0000,1000400.0000
Test 13,2377140800.0000,0.0000,2375064500.0000,0.0000
Test 14,2388794200.0000,0.0000,2374539400.0000,0.0000
Test 15,2389217500.0000,0.0000,2388212200.0000,0.0000
Test 16,2388426600.0000,0.0000,2386490000.0000,0.0000
Test 17,2381752200.0000,0.0000,2381882600.0000,0.0000
Test 18,2379759000.0000,0.0000,2374456500.0000,0.0000
Test 19,2375437700.0000,0.0000,2384223200.0000,0.0000
Test 20,2378860100.0000,0.0000,2380795000.0000,0.0000
Test 21,2379526300.0000,0.0000,2383685400.0000,0.0000
Test 22,2394426000.0000,0.0000,2387541400.0000,0.0000
Test 23,2381721100.0000,0.0000,2387127600.0000,0.0000
Test 24,2389973400.0000,0.0000,2386855400.0000,0.0000
Test 25,2396339400.0000,1000500.0000,2372057900.0000,0.0000
Test 26,2382970300.0000,0.0000,2377728500.0000,0.0000
Test 27,2377038700.0000,0.0000,2386485300.0000,0.0000
Test 28,2377660100.0000,0.0000,2381855000.0000,0.0000
Test 29,2383298500.0000,0.0000,2376127800.0000,0.0000
Test 30,2379537100.0000,0.0000,2385063200.0000,0.0000
Test 31,2381119900.0000,0.0000,2380712500.0000,0.0000
Test 32,2376408000.0000,0.0000,2384956900.0000,0.0000
Test 33,2375637100.0000,0.0000,2377730500.0000,0.0000
Test 34,2391839700.0000,0.0000,2384918300.0000,0.0000
Test 35,2394966700.0000,0.0000,2383005900.0000,0.0000
Test 36,2387891100.0000,0.0000,2385602100.0000,0.0000
Test 37,2386951700.0000,0.0000,2383534000.0000,0.0000
Test 38,2377535000.0000,0.0000,2370210200.0000,0.0000
Test 39,2383384800.0000,0.0000,2391750200.0000,0.0000
Test 40,2377330500.0000,0.0000,2389751100.0000,0.0000
Test 41,2381567800.0000,0.0000,2373559800.0000,0.0000
Test 42,2379699300.0000,0.0000,2375937300.0000,0.0000
